"A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A13","A14","A15","class"
24.33,2.5,"y","p","i","bb",4.5,"f","f",0,"g",200,456,2
56.83,4.25,"y","p","ff","ff",5,"f","f",0,"g",0,4,2
22.08,11.46,"u","g","k","v",1.585,"f","f",0,"g",100,1212,2
34,5.5,"y","p","c","v",1.5,"f","f",0,"g",60,0,2
22.58,1.5,"y","p","aa","v",0.54,"f","f",0,"g",120,67,2
21.17,0,"u","g","c","v",0.5,"f","f",0,"s",0,0,2
26.67,14.585,"u","g","i","bb",0,"f","f",0,"g",178,0,2
22.92,0.17,"u","g","m","v",0.085,"f","f",0,"s",0,0,2
15.17,7,"u","g","e","v",1,"f","f",0,"g",600,0,2
39.92,5,"u","g","i","bb",0.21,"f","f",0,"g",550,0,2
27.42,12.5,"u","g","aa","bb",0.25,"f","f",0,"g",720,0,2
24.75,0.54,"u","g","m","v",1,"f","f",0,"g",120,1,2
41.17,1.25,"y","p","w","v",0.25,"f","f",0,"g",0,195,2
33.08,1.625,"u","g","d","v",0.54,"f","f",0,"g",0,0,2
29.83,2.04,"y","p","x","h",0.04,"f","f",0,"g",128,1,2
23.58,0.585,"y","p","ff","ff",0.125,"f","f",0,"g",120,87,2
26.17,12.5,"y","p","k","h",1.25,"f","f",0,"g",0,17,2
31,2.085,"u","g","c","v",0.085,"f","f",0,"g",300,0,2
20.75,5.085,"y","p","j","v",0.29,"f","f",0,"g",140,184,2
28.92,0.375,"u","g","c","v",0.29,"f","f",0,"g",220,140,2
51.92,6.5,"u","g","i","bb",3.085,"f","f",0,"g",73,0,2
22.67,0.335,"u","g","q","v",0.75,"f","f",0,"s",160,0,2
34,5.085,"y","p","i","bb",1.085,"f","f",0,"g",480,0,2
69.5,6,"u","g","ff","ff",0,"f","f",0,"s",0,0,2
40.33,8.125,"y","p","k","v",0.165,"f","t",2,"g",220,18,2
19.58,0.665,"y","p","c","v",1,"f","t",1,"g",2000,2,2
16,3.125,"u","g","w","v",0.085,"f","t",1,"g",0,6,2
17.08,0.25,"u","g","q","v",0.335,"f","t",4,"g",160,8,2
31.25,2.835,"u","g","ff","ff",0,"f","t",5,"g",176,146,2
25.17,3,"u","g","c","v",1.25,"f","t",1,"g",0,22,2
22.67,0.79,"u","g","i","v",0.085,"f","f",0,"g",144,0,2
40.58,1.5,"u","g","i","bb",0,"f","f",0,"s",300,0,2
22.25,0.46,"u","g","k","v",0.125,"f","f",0,"g",280,55,2
22.25,1.25,"y","p","ff","ff",3.25,"f","f",0,"g",280,0,2
22.5,0.125,"y","p","k","v",0.125,"f","f",0,"g",200,70,2
23.58,1.79,"u","g","c","v",0.54,"f","f",0,"g",136,1,2
38.42,0.705,"u","g","c","v",0.375,"f","t",2,"g",225,500,2
26.58,2.54,"y","p","ff","ff",0,"f","f",0,"g",180,60,2
35,2.5,"u","g","i","v",1,"f","f",0,"g",210,0,2
20.42,1.085,"u","g","q","v",1.5,"f","f",0,"g",108,7,2
29.42,1.25,"u","g","w","v",1.75,"f","f",0,"g",200,0,2
26.17,0.835,"u","g","cc","v",1.165,"f","f",0,"g",100,0,2
33.67,2.165,"u","g","c","v",1.5,"f","f",0,"p",120,0,2
24.58,1.25,"u","g","c","v",0.25,"f","f",0,"g",110,0,2
27.67,2.04,"u","g","w","v",0.25,"f","f",0,"g",180,50,2
37.5,0.835,"u","g","e","v",0.04,"f","f",0,"g",120,5,2
49.17,2.29,"u","g","ff","ff",0.29,"f","f",0,"g",200,3,2
33.58,0.335,"y","p","cc","v",0.085,"f","f",0,"g",180,0,2
51.83,3,"y","p","ff","ff",1.5,"f","f",0,"g",180,4,2
22.92,3.165,"y","p","c","v",0.165,"f","f",0,"g",160,1058,2
21.83,1.54,"u","g","k","v",0.085,"f","f",0,"g",356,0,2
25.25,1,"u","g","aa","v",0.5,"f","f",0,"g",200,0,2
58.58,2.71,"u","g","c","v",2.415,"f","f",0,"g",320,0,2
19,0,"y","p","ff","ff",0,"f","t",4,"g",45,1,2
19.58,0.585,"u","g","ff","ff",0,"f","t",3,"g",350,769,2
53.33,0.165,"u","g","ff","ff",0,"f","f",0,"s",62,27,2
27.17,1.25,"u","g","ff","ff",0,"f","t",1,"g",92,300,2
25.92,0.875,"u","g","k","v",0.375,"f","t",2,"g",174,3,2
23.08,0,"u","g","k","v",1,"f","t",11,"s",0,0,2
39.58,5,"u","g","ff","ff",0,"f","t",2,"g",17,1,2
30.58,2.71,"y","p","m","v",0.125,"f","f",0,"s",80,0,2
17.25,3,"u","g","k","v",0.04,"f","f",0,"g",160,40,2
17.67,0,"y","p","j","ff",0,"f","f",0,"g",86,0,2
36.415,11.25,"u","g","ff","ff",0,"f","f",0,"g",80,5200,2
16.5,0.125,"u","g","c","v",0.165,"f","f",0,"g",132,0,2
27.33,1.665,"u","g","ff","ff",0,"f","f",0,"g",340,1,2
31.25,1.125,"u","g","ff","ff",0,"f","t",1,"g",96,19,2
20,7,"u","g","c","v",0.5,"f","f",0,"g",0,0,2
35.085,3,"y","p","i","bb",7,"f","f",0,"g",0,1,2
39.5,1.625,"u","g","c","v",1.5,"f","f",0,"g",0,316,2
36.5,4.25,"u","g","q","v",3.5,"f","f",0,"g",454,50,2
29.75,0.665,"u","g","w","v",0.25,"f","f",0,"g",300,0,2
52.42,1.5,"u","g","d","v",3.75,"f","f",0,"g",0,350,2
36.17,18.125,"u","g","w","v",0.085,"f","f",0,"g",320,3552,2
34.58,0,"u","g","c","v",0,"f","f",0,"p",174,0,2
29.67,0.75,"y","p","c","v",0.04,"f","f",0,"g",240,0,2
36.17,5.5,"u","g","i","bb",5,"f","f",0,"g",210,687,2
25.67,0.29,"y","p","c","v",1.5,"f","f",0,"g",160,0,2
24.5,2.415,"y","p","c","v",0,"f","f",0,"g",120,0,2
24.08,0.875,"u","g","m","v",0.085,"f","t",4,"g",254,1950,2
21.92,0.5,"u","g","c","v",0.125,"f","f",0,"g",360,0,2
36.58,0.29,"u","g","ff","ff",0,"f","t",10,"g",200,18,2
23,1.835,"u","g","j","j",0,"f","t",1,"g",200,53,2
27.58,3,"u","g","m","v",2.79,"f","t",1,"g",280,10,2
31.08,3.085,"u","g","c","v",2.5,"f","t",2,"g",160,41,2
30.42,1.375,"u","g","w","h",0.04,"f","t",3,"g",0,33,2
22.08,2.335,"u","g","k","v",0.75,"f","f",0,"g",180,0,2
16.33,4.085,"u","g","i","h",0.415,"f","f",0,"g",120,0,2
21.92,11.665,"u","g","k","h",0.085,"f","f",0,"g",320,5,2
21.08,4.125,"y","p","i","h",0.04,"f","f",0,"g",140,100,2
17.42,6.5,"u","g","i","v",0.125,"f","f",0,"g",60,100,2
19.17,4,"y","p","i","v",1,"f","f",0,"g",360,1000,2
20.67,0.415,"u","g","c","v",0.125,"f","f",0,"g",0,44,2
26.75,2,"u","g","d","v",0.75,"f","f",0,"g",80,0,2
23.58,0.835,"u","g","i","h",0.085,"f","f",0,"g",220,5,2
39.17,2.5,"y","p","i","h",10,"f","f",0,"s",200,0,2
22.75,11.5,"u","g","i","v",0.415,"f","f",0,"g",0,0,2
26.5,2.71,"y","p","m","v",0.085,"f","f",0,"s",80,0,2
16.92,0.5,"u","g","i","v",0.165,"f","t",6,"g",240,35,2
23.5,3.165,"y","p","k","v",0.415,"f","t",1,"g",280,80,2
17.33,9.5,"u","g","aa","v",1.75,"f","t",10,"g",0,10,2
23.75,0.415,"y","p","c","v",0.04,"f","t",2,"g",128,6,2
34.67,1.08,"u","g","m","v",1.165,"f","f",0,"s",28,0,2
74.83,19,"y","p","ff","ff",0.04,"f","t",2,"g",0,351,2
28.17,0.125,"y","p","k","v",0.085,"f","f",0,"g",216,2100,2
24.5,13.335,"y","p","aa","v",0.04,"f","f",0,"g",120,475,2
18.83,3.54,"y","p","ff","ff",0,"f","f",0,"g",180,1,2
45.33,1,"u","g","q","v",0.125,"f","f",0,"g",263,0,2
47.25,0.75,"u","g","q","h",2.75,"t","t",1,"g",333,892,1
24.17,0.875,"u","g","q","v",4.625,"t","t",2,"g",520,2000,1
39.25,9.5,"u","g","m","v",6.5,"t","t",14,"g",240,4607,1
20.5,11.835,"u","g","c","h",6,"t","f",0,"g",340,0,1
18.83,4.415,"y","p","c","h",3,"t","f",0,"g",240,0,1
19.17,9.5,"u","g","w","v",1.5,"t","f",0,"g",120,2206,1
25,0.875,"u","g","x","h",1.04,"t","f",0,"g",160,5860,1
20.17,9.25,"u","g","c","v",1.665,"t","t",3,"g",40,28,1
25.75,0.5,"u","g","c","v",1.46,"t","t",5,"g",312,0,1
20.42,7,"u","g","c","v",1.625,"t","t",3,"g",200,1391,1
28.915,4,"u","g","x","v",5,"t","t",3,"g",290,2279,1
39,5,"u","g","cc","v",3.5,"t","t",10,"g",0,0,1
64.08,0.165,"u","g","ff","ff",0,"t","t",1,"g",232,100,1
28.25,5.125,"u","g","x","v",4.75,"t","t",2,"g",420,7,1
28.75,3.75,"u","g","c","v",1.085,"t","t",1,"g",371,0,1
31.33,19.5,"u","g","c","v",7,"t","t",16,"g",0,5000,1
18.92,9,"u","g","aa","v",0.75,"t","t",2,"g",88,591,1
24.75,3,"u","g","q","h",1.835,"t","t",19,"g",0,500,1
30.67,12,"u","g","c","v",2,"t","t",1,"g",220,19,1
21,4.79,"y","p","w","v",2.25,"t","t",1,"g",80,300,1
13.75,4,"y","p","w","v",1.75,"t","t",2,"g",120,1000,1
46,4,"u","g","j","j",0,"t","f",0,"g",100,960,1
44.33,0,"u","g","c","v",2.5,"t","f",0,"g",0,0,1
20.25,9.96,"u","g","e","dd",0,"t","f",0,"g",0,0,1
22.67,2.54,"y","p","c","h",2.585,"t","f",0,"g",0,0,1
22.875,10.5,"u","g","x","v",6.5,"t","f",0,"g",0,0,1
60.92,5,"u","g","aa","v",4,"t","t",4,"g",0,99,1
16.08,0.75,"u","g","c","v",1.75,"t","t",5,"g",352,690,1
28.17,0.375,"u","g","q","v",0.585,"t","t",4,"g",80,0,1
39.17,1.71,"u","g","x","v",0.125,"t","t",5,"g",480,0,1
20.42,7.5,"u","g","k","v",1.5,"t","t",1,"g",160,234,1
30,5.29,"u","g","e","dd",2.25,"t","t",5,"g",99,500,1
22.83,3,"u","g","m","v",1.29,"t","t",1,"g",260,800,1
22.5,8.5,"u","g","q","v",1.75,"t","t",10,"g",80,990,2
28.58,1.665,"u","g","q","v",2.415,"t","f",0,"g",440,0,2
45.17,1.5,"u","g","c","v",2.5,"t","f",0,"g",140,0,2
41.58,1.75,"u","g","k","v",0.21,"t","f",0,"g",160,0,2
57.08,0.335,"u","g","i","bb",1,"t","f",0,"g",252,2197,2
55.75,7.08,"u","g","k","h",6.75,"t","t",3,"g",100,50,2
43.25,25.21,"u","g","q","h",0.21,"t","t",1,"g",760,90,2
25.33,2.085,"u","g","c","h",2.75,"t","f",0,"g",360,1,2
24.58,0.67,"u","g","aa","h",1.75,"t","f",0,"g",400,0,2
43.17,2.25,"u","g","i","bb",0.75,"t","f",0,"g",560,0,2
40.92,0.835,"u","g","ff","ff",0,"t","f",0,"g",130,1,2
31.83,2.5,"u","g","aa","v",7.5,"t","f",0,"g",523,0,2
33.92,1.585,"y","p","ff","ff",0,"t","f",0,"g",320,0,2
24.92,1.25,"u","g","ff","ff",0,"t","f",0,"g",80,0,2
35.25,3.165,"u","g","x","h",3.75,"t","f",0,"g",680,0,2
34.25,1.75,"u","g","w","bb",0.25,"t","f",0,"g",163,0,2
80.25,5.5,"u","g","c","v",0.54,"t","f",0,"g",0,340,2
19.42,1.5,"y","p","cc","v",2,"t","f",0,"g",100,20,2
42.75,3,"u","g","i","bb",1,"t","f",0,"g",0,200,2
19.67,10,"y","p","k","h",0.835,"t","f",0,"g",140,0,2
36.33,3.79,"u","g","w","v",1.165,"t","f",0,"g",200,0,2
30.08,1.04,"y","p","i","bb",0.5,"t","t",10,"g",132,28,2
44.25,11,"y","p","d","v",1.5,"t","f",0,"s",0,0,2
23.58,0.46,"y","p","w","v",2.625,"t","t",6,"g",208,347,2
23.92,1.5,"u","g","d","h",1.875,"t","t",6,"g",200,327,1
33.17,1,"u","g","x","v",0.75,"t","t",7,"g",340,4071,1
48.33,12,"u","g","m","v",16,"t","f",0,"s",110,0,1
76.75,22.29,"u","g","e","z",12.75,"t","t",1,"g",0,109,1
51.33,10,"u","g","i","bb",0,"t","t",11,"g",0,1249,1
34.75,15,"u","g","r","n",5.375,"t","t",9,"g",0,134,1
38.58,3.335,"u","g","w","v",4,"t","t",14,"g",383,1344,1
22.42,11.25,"y","p","x","h",0.75,"t","t",4,"g",0,321,1
41.92,0.42,"u","g","c","h",0.21,"t","t",6,"g",220,948,1
29.58,4.5,"u","g","w","v",7.5,"t","t",2,"g",330,0,1
32.17,1.46,"u","g","w","v",1.085,"t","t",16,"g",120,2079,1
51.42,0.04,"u","g","x","h",0.04,"t","f",0,"g",0,3000,1
22.83,2.29,"u","g","q","h",2.29,"t","t",7,"g",140,2384,1
25,12.33,"u","g","cc","h",3.5,"t","t",6,"g",400,458,1
26.75,1.125,"u","g","x","h",1.25,"t","f",0,"g",0,5298,1
23.33,1.5,"u","g","c","h",1.415,"t","f",0,"g",422,200,1
24.42,12.335,"u","g","q","h",1.585,"t","f",0,"g",120,0,1
42.17,5.04,"u","g","q","h",12.75,"t","f",0,"g",92,0,1
20.83,3,"u","g","aa","v",0.04,"t","f",0,"g",100,0,1
23.08,11.5,"u","g","w","h",2.125,"t","t",11,"g",290,284,1
25.17,2.875,"u","g","x","h",0.875,"t","f",0,"g",360,0,1
43.08,0.375,"y","p","c","v",0.375,"t","t",8,"g",300,162,1
35.75,0.915,"u","g","aa","v",0.75,"t","t",4,"g",0,1583,1
59.5,2.75,"u","g","w","v",1.75,"t","t",5,"g",60,58,1
21,3,"y","p","d","v",1.085,"t","t",8,"g",160,1,1
21.92,0.54,"y","p","x","v",0.04,"t","t",1,"g",840,59,1
65.17,14,"u","g","ff","ff",0,"t","t",11,"g",0,1400,1
20.33,10,"u","g","c","h",1,"t","t",4,"g",50,1465,1
32.25,0.165,"y","p","c","h",3.25,"t","t",1,"g",432,8000,1
30.17,0.5,"u","g","c","v",1.75,"t","t",11,"g",32,540,1
25.17,6,"u","g","c","v",1,"t","t",3,"g",0,0,1
39.17,1.625,"u","g","c","v",1.5,"t","t",10,"g",186,4700,1
39.08,6,"u","g","m","v",1.29,"t","t",5,"g",108,1097,1
31.67,0.83,"u","g","x","v",1.335,"t","t",8,"g",303,3290,1
41,0.04,"u","g","e","v",0.04,"f","t",1,"s",560,0,1
48.5,4.25,"u","g","m","v",0.125,"t","f",0,"g",225,0,1
32.67,9,"y","p","w","h",5.25,"t","f",0,"g",154,0,1
28.08,15,"y","p","e","z",0,"t","f",0,"g",0,13212,1
73.42,17.75,"u","g","ff","ff",0,"t","f",0,"g",0,0,1
64.08,20,"u","g","x","h",17.5,"t","t",9,"g",0,1000,1
51.58,15,"u","g","c","v",8.5,"t","t",9,"g",0,0,1
26.67,1.75,"y","p","c","v",1,"t","t",5,"g",160,5777,1
25.33,0.58,"u","g","c","v",0.29,"t","t",7,"g",96,5124,1
30.17,6.5,"u","g","cc","v",3.125,"t","t",8,"g",330,1200,1
27,0.75,"u","g","c","h",4.25,"t","t",3,"g",312,150,1
23.17,0,"u","g","c","v",0,"f","f",0,"p",126,0,1
34.17,5.25,"u","g","w","v",0.085,"f","f",0,"g",290,6,1
38.67,0.21,"u","g","k","v",0.085,"t","f",0,"g",280,0,1
25.75,0.75,"u","g","c","bb",0.25,"t","f",0,"g",349,23,1
46.08,3,"u","g","c","v",2.375,"t","t",8,"g",396,4159,1
21.5,6,"u","g","aa","v",2.5,"t","t",3,"g",80,918,1
20.08,0.125,"u","g","q","v",1,"f","t",1,"g",240,768,1
20.5,2.415,"u","g","c","v",2,"t","t",11,"g",200,3000,1
29.5,0.46,"u","g","k","v",0.54,"t","t",4,"g",380,500,1
42.25,1.75,"y","p","c","v",0,"f","f",0,"g",150,1,2
29.83,1.25,"y","p","k","v",0.25,"f","f",0,"g",224,0,2
20.08,0.25,"u","g","q","v",0.125,"f","f",0,"g",200,0,2
23.42,0.585,"u","g","c","h",0.085,"t","f",0,"g",180,0,2
29.58,1.75,"y","p","k","v",1.25,"f","f",0,"g",280,0,2
16.17,0.04,"u","g","c","v",0.04,"f","f",0,"g",0,0,1
32.33,3.5,"u","g","k","v",0.5,"f","f",0,"g",232,0,2
33.085,0.04,"y","p","d","v",4.25,"f","f",0,"g",460,0,2
47.83,4.165,"u","g","x","bb",0.085,"f","f",0,"g",520,0,2
20,1.25,"y","p","k","v",0.125,"f","f",0,"g",140,4,2
27.58,3.25,"y","p","q","h",5.085,"f","t",2,"g",369,1,2
22,0.79,"u","g","w","v",0.29,"f","t",1,"g",420,283,2
19.33,10.915,"u","g","c","bb",0.585,"f","t",2,"g",200,7,2
38.33,4.415,"u","g","c","v",0.125,"f","f",0,"g",160,0,2
29.42,1.25,"u","g","c","h",0.25,"f","t",2,"g",400,108,2
22.67,0.75,"u","g","i","v",1.585,"f","t",1,"g",400,9,2
32.25,14,"y","p","ff","ff",0,"f","t",2,"g",160,1,2
29.58,4.75,"u","g","m","v",2,"f","t",1,"g",460,68,2
18.42,10.415,"y","p","aa","v",0.125,"t","f",0,"g",120,375,2
22.17,2.25,"u","g","i","v",0.125,"f","f",0,"g",160,10,2
22.67,0.165,"u","g","c","j",2.25,"f","f",0,"s",0,0,1
25.58,0,"u","g","q","v",0,"f","f",0,"p",180,0,1
18.83,0,"u","g","q","v",0.665,"f","f",0,"g",160,1,2
21.58,0.79,"y","p","cc","v",0.665,"f","f",0,"g",160,0,2
23.75,12,"u","g","c","v",2.085,"f","f",0,"s",80,0,2
22,7.835,"y","p","i","bb",0.165,"f","f",0,"g",130,0,2
36.08,2.54,"u","g","ff","ff",0,"f","f",0,"g",0,1000,2
29.25,13,"u","g","d","h",0.5,"f","f",0,"g",228,0,2
19.58,0.665,"u","g","w","v",1.665,"f","f",0,"g",220,5,2
22.92,1.25,"u","g","q","v",0.25,"f","f",0,"g",120,809,2
27.25,0.29,"u","g","m","h",0.125,"f","t",1,"g",272,108,2
38.75,1.5,"u","g","ff","ff",0,"f","f",0,"g",76,0,2
32.42,2.165,"y","p","k","ff",0,"f","f",0,"g",120,0,2
23.75,0.71,"u","g","w","v",0.25,"f","t",1,"g",240,4,2
18.17,2.46,"u","g","c","n",0.96,"f","t",2,"g",160,587,2
40.92,0.5,"y","p","m","v",0.5,"f","f",0,"g",130,0,2
19.5,9.585,"u","g","aa","v",0.79,"f","f",0,"g",80,350,2
28.58,3.625,"u","g","aa","v",0.25,"f","f",0,"g",100,0,2
35.58,0.75,"u","g","k","v",1.5,"f","f",0,"g",231,0,2
34.17,2.75,"u","g","i","bb",2.5,"f","f",0,"g",232,200,2
33.17,2.25,"y","p","cc","v",3.5,"f","f",0,"g",200,141,2
31.58,0.75,"y","p","aa","v",3.5,"f","f",0,"g",320,0,2
52.5,7,"u","g","aa","h",3,"f","f",0,"g",0,0,2
36.17,0.42,"y","p","w","v",0.29,"f","f",0,"g",309,2,2
37.33,2.665,"u","g","cc","v",0.165,"f","f",0,"g",0,501,2
20.83,8.5,"u","g","c","v",0.165,"f","f",0,"g",0,351,2
24.08,9,"u","g","aa","v",0.25,"f","f",0,"g",0,0,2
25.58,0.335,"u","g","k","h",3.5,"f","f",0,"g",340,0,2
35.17,3.75,"u","g","ff","ff",0,"f","t",6,"g",0,200,2
48.08,3.75,"u","g","i","bb",1,"f","f",0,"g",100,2,2
15.83,7.625,"u","g","q","v",0.125,"f","t",1,"g",0,160,2
22.5,0.415,"u","g","i","v",0.335,"f","f",0,"s",144,0,2
21.5,11.5,"u","g","i","v",0.5,"t","f",0,"g",100,68,2
23.58,0.83,"u","g","q","v",0.415,"f","t",1,"g",200,11,2
21.08,5,"y","p","ff","ff",0,"f","f",0,"g",0,0,2
25.67,3.25,"u","g","c","h",2.29,"f","t",1,"g",416,21,2
38.92,1.665,"u","g","aa","v",0.25,"f","f",0,"g",0,390,2
15.75,0.375,"u","g","c","v",1,"f","f",0,"g",120,18,2
28.58,3.75,"u","g","c","v",0.25,"f","t",1,"g",40,154,2
22.25,9,"u","g","aa","v",0.085,"f","f",0,"g",0,0,2
29.83,3.5,"u","g","c","v",0.165,"f","f",0,"g",216,0,2
23.5,1.5,"u","g","w","v",0.875,"f","f",0,"g",160,0,2
32.08,4,"y","p","cc","v",1.5,"f","f",0,"g",120,0,2
31.08,1.5,"y","p","w","v",0.04,"f","f",0,"s",160,0,2
31.83,0.04,"y","p","m","v",0.04,"f","f",0,"g",0,0,2
21.75,11.75,"u","g","c","v",0.25,"f","f",0,"g",180,0,2
17.92,0.54,"u","g","c","v",1.75,"f","t",1,"g",80,5,2
30.33,0.5,"u","g","d","h",0.085,"f","f",0,"s",252,0,2
51.83,2.04,"y","p","ff","ff",1.5,"f","f",0,"g",120,1,2
47.17,5.835,"u","g","w","v",5.5,"f","f",0,"g",465,150,2
25.83,12.835,"u","g","cc","v",0.5,"f","f",0,"g",0,2,2
50.25,0.835,"u","g","aa","v",0.5,"f","f",0,"g",240,117,2
29.5,2,"y","p","e","h",2,"f","f",0,"g",256,17,2
37.33,2.5,"u","g","i","h",0.21,"f","f",0,"g",260,246,2
41.58,1.04,"u","g","aa","v",0.665,"f","f",0,"g",240,237,2
30.58,10.665,"u","g","q","h",0.085,"f","t",12,"g",129,3,2
19.42,7.25,"u","g","m","v",0.04,"f","t",1,"g",100,1,2
17.92,10.21,"u","g","ff","ff",0,"f","f",0,"g",0,50,2
20.08,1.25,"u","g","c","v",0,"f","f",0,"g",0,0,2
19.5,0.29,"u","g","k","v",0.29,"f","f",0,"g",280,364,2
27.83,1,"y","p","d","h",3,"f","f",0,"g",176,537,2
17.08,3.29,"u","g","i","v",0.335,"f","f",0,"g",140,2,2
36.42,0.75,"y","p","d","v",0.585,"f","f",0,"g",240,3,2
40.58,3.29,"u","g","m","v",3.5,"f","f",0,"s",400,0,2
21.08,10.085,"y","p","e","h",1.25,"f","f",0,"g",260,0,2
22.67,0.75,"u","g","c","v",2,"f","t",2,"g",200,394,2
25.25,13.5,"y","p","ff","ff",2,"f","t",1,"g",200,1,2
17.92,0.205,"u","g","aa","v",0.04,"f","f",0,"g",280,750,2
35,3.375,"u","g","c","h",8.29,"f","f",0,"g",0,0,2
