"checking_status","duration","credit_history","savings_status","employment","personal_status","other_payment_plans","job","foreign_worker","class","ID"
"no checking",30,"existing paid","no known savings","4<=X<7","female div/dep/mar","none","unskilled resident","yes",1,307
"<0",12,"existing paid","100<=X<500","<1","male mar/wid","none","unskilled resident","yes",2,308
"0<=X<200",8,"existing paid","<100","1<=X<4","female div/dep/mar","none","skilled","yes",2,309
"0<=X<200",9,"existing paid","<100","1<=X<4","male mar/wid","none","unskilled resident","yes",1,310
"0<=X<200",48,"existing paid","no known savings","unemployed","male single","bank","unemp/unskilled non res","yes",1,311
"no checking",24,"existing paid","100<=X<500","1<=X<4","male single","stores","skilled","yes",1,312
">=200",24,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",1,313
"0<=X<200",12,"existing paid","<100","4<=X<7","male mar/wid","none","unskilled resident","yes",2,314
">=200",4,"existing paid","no known savings","<1","male single","none","unskilled resident","no",1,315
"<0",36,"all paid","<100",">=7","male single","bank","skilled","yes",2,316
"<0",12,"existing paid","<100","1<=X<4","male single","none","unskilled resident","yes",1,317
"0<=X<200",24,"existing paid","no known savings","1<=X<4","female div/dep/mar","none","unskilled resident","yes",1,318
"no checking",12,"critical/other existing credit","<100","1<=X<4","male single","none","skilled","yes",1,319
"<0",15,"delayed previously","<100",">=7","female div/dep/mar","none","unskilled resident","yes",1,320
"0<=X<200",30,"critical/other existing credit","<100","unemployed","male mar/wid","none","high qualif/self emp/mgmt","yes",2,321
"<0",24,"existing paid","<100","<1","male div/sep","none","skilled","yes",2,322
"<0",24,"existing paid","<100","4<=X<7","male single","none","high qualif/self emp/mgmt","yes",1,323
"<0",18,"existing paid",">=1000","1<=X<4","male single","none","skilled","yes",1,324
"no checking",18,"critical/other existing credit","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,325
"<0",8,"critical/other existing credit","<100","4<=X<7","male single","none","unskilled resident","no",1,326
"no checking",12,"critical/other existing credit","no known savings",">=7","male single","none","skilled","yes",1,327
"no checking",24,"existing paid",">=1000","4<=X<7","female div/dep/mar","none","skilled","yes",1,328
">=200",36,"existing paid","<100",">=7","male single","none","skilled","yes",1,329
"0<=X<200",30,"existing paid","<100",">=7","male single","none","skilled","yes",1,330
"<0",24,"critical/other existing credit","<100","unemployed","male single","none","high qualif/self emp/mgmt","yes",1,331
"no checking",18,"critical/other existing credit","100<=X<500","1<=X<4","female div/dep/mar","none","skilled","yes",2,332
"0<=X<200",60,"existing paid","100<=X<500","<1","female div/dep/mar","none","high qualif/self emp/mgmt","yes",2,333
"no checking",48,"critical/other existing credit","100<=X<500","1<=X<4","female div/dep/mar","bank","unskilled resident","yes",2,334
"<0",36,"no credits/all paid","<100",">=7","male single","bank","skilled","yes",2,335
"<0",6,"critical/other existing credit","<100","1<=X<4","male div/sep","none","high qualif/self emp/mgmt","yes",2,336
"0<=X<200",13,"existing paid","<100","<1","female div/dep/mar","none","unskilled resident","yes",1,337
"<0",15,"existing paid","no known savings","1<=X<4","female div/dep/mar","none","skilled","yes",2,338
"<0",13.5,"existing paid","<100","1<=X<4","male single","none","skilled","yes",1,339
"no checking",10,"existing paid","<100","1<=X<4","male div/sep","none","unskilled resident","yes",1,340
"0<=X<200",24,"critical/other existing credit","<100","<1","female div/dep/mar","none","skilled","yes",1,341
"<0",21,"existing paid","<100","4<=X<7","female div/dep/mar","none","unskilled resident","yes",1,342
"0<=X<200",18,"existing paid","500<=X<1000","<1","male mar/wid","none","skilled","yes",1,343
"0<=X<200",21,"existing paid","<100",">=7","male single","bank","high qualif/self emp/mgmt","yes",1,344
">=200",10,"existing paid","<100","<1","male single","none","unskilled resident","yes",1,345
"no checking",15,"critical/other existing credit","<100","1<=X<4","female div/dep/mar","none","unskilled resident","yes",1,346
"0<=X<200",13,"critical/other existing credit","<100","<1","male single","none","skilled","yes",1,347
"0<=X<200",24,"existing paid","500<=X<1000","unemployed","female div/dep/mar","none","unemp/unskilled non res","yes",1,348
"no checking",6,"delayed previously","100<=X<500","1<=X<4","male single","none","unskilled resident","yes",1,349
"0<=X<200",9,"critical/other existing credit",">=1000",">=7","male single","none","skilled","yes",2,350
"no checking",9,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",1,351
"0<=X<200",9,"existing paid","<100","1<=X<4","female div/dep/mar","none","skilled","no",2,352
"no checking",18,"critical/other existing credit","no known savings","unemployed","male single","none","high qualif/self emp/mgmt","yes",1,353
"<0",12,"no credits/all paid","<100","1<=X<4","male single","none","skilled","yes",2,354
"no checking",10,"existing paid","500<=X<1000",">=7","male single","none","skilled","yes",1,355
"0<=X<200",24,"existing paid","<100","<1","male single","stores","unskilled resident","yes",2,356
"no checking",12,"critical/other existing credit","no known savings",">=7","male single","none","skilled","yes",1,357
"no checking",36,"delayed previously","<100","1<=X<4","male single","none","high qualif/self emp/mgmt","yes",2,358
"no checking",12,"existing paid","<100","1<=X<4","male mar/wid","none","skilled","yes",1,359
"<0",30,"existing paid","<100","4<=X<7","female div/dep/mar","none","skilled","yes",2,360
"0<=X<200",18,"existing paid","no known savings","1<=X<4","male single","none","skilled","yes",1,361
">=200",12,"existing paid","no known savings",">=7","male single","none","high qualif/self emp/mgmt","yes",1,362
">=200",12,"delayed previously","<100","1<=X<4","female div/dep/mar","stores","skilled","yes",1,363
"no checking",6,"existing paid","<100","1<=X<4","male mar/wid","none","skilled","yes",1,364
"<0",18,"existing paid","<100","unemployed","male single","none","unemp/unskilled non res","yes",2,365
"no checking",12,"existing paid","<100","4<=X<7","male single","none","skilled","yes",1,366
"no checking",18,"critical/other existing credit","<100","4<=X<7","male single","none","skilled","yes",1,367
"<0",18,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",1,368
"<0",36,"existing paid","<100",">=7","male single","none","skilled","yes",2,369
"0<=X<200",18,"existing paid","<100","4<=X<7","female div/dep/mar","none","skilled","yes",1,370
"no checking",36,"existing paid","no known savings","1<=X<4","male single","none","skilled","yes",1,371
"no checking",21,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",1,372
"no checking",10,"critical/other existing credit","<100","<1","female div/dep/mar","none","skilled","yes",1,373
"no checking",60,"critical/other existing credit","no known savings",">=7","male single","none","high qualif/self emp/mgmt","yes",1,374
"0<=X<200",60,"all paid","100<=X<500",">=7","female div/dep/mar","bank","high qualif/self emp/mgmt","yes",2,375
"<0",48,"all paid","<100","4<=X<7","female div/dep/mar","none","skilled","yes",2,376
"no checking",18,"delayed previously","<100","unemployed","male mar/wid","none","skilled","yes",1,377
"no checking",7,"delayed previously","no known savings",">=7","male single","none","skilled","yes",1,378
"0<=X<200",36,"existing paid","<100",">=7","male single","none","high qualif/self emp/mgmt","yes",2,379
"no checking",6,"critical/other existing credit","100<=X<500","1<=X<4","female div/dep/mar","none","unskilled resident","yes",1,380
"<0",20,"existing paid","no known savings","4<=X<7","male single","none","skilled","yes",1,381
"0<=X<200",18,"existing paid","<100","unemployed","female div/dep/mar","none","high qualif/self emp/mgmt","yes",2,382
"no checking",22,"existing paid","no known savings","4<=X<7","female div/dep/mar","none","skilled","yes",1,383
">=200",12,"existing paid","<100","<1","male single","none","skilled","yes",1,384
"no checking",30,"delayed previously","100<=X<500","1<=X<4","male single","none","unskilled resident","yes",1,385
"no checking",18,"critical/other existing credit","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,386
"no checking",18,"existing paid","no known savings","<1","female div/dep/mar","none","skilled","yes",1,387
"0<=X<200",18,"critical/other existing credit","<100","unemployed","male single","none","high qualif/self emp/mgmt","yes",1,388
"0<=X<200",15,"critical/other existing credit","500<=X<1000","1<=X<4","male single","bank","skilled","yes",1,389
"no checking",9,"existing paid","<100","4<=X<7","female div/dep/mar","none","skilled","yes",1,390
"no checking",18,"existing paid","<100","1<=X<4","male mar/wid","none","high qualif/self emp/mgmt","yes",1,391
"0<=X<200",12,"existing paid",">=1000","<1","female div/dep/mar","none","unskilled resident","yes",1,392
"<0",36,"existing paid","<100","4<=X<7","male single","bank","high qualif/self emp/mgmt","yes",1,393
"<0",6,"critical/other existing credit","<100","4<=X<7","female div/dep/mar","none","skilled","yes",1,394
"no checking",9,"critical/other existing credit","<100","unemployed","male single","none","high qualif/self emp/mgmt","yes",1,395
"0<=X<200",39,"delayed previously","100<=X<500","4<=X<7","male single","none","skilled","yes",1,396
"<0",12,"existing paid","<100","unemployed","female div/dep/mar","none","high qualif/self emp/mgmt","yes",1,397
"<0",36,"critical/other existing credit","<100","1<=X<4","male mar/wid","none","skilled","yes",1,398
"0<=X<200",12,"existing paid","<100",">=7","male div/sep","none","skilled","yes",2,399
"no checking",24,"critical/other existing credit",">=1000","1<=X<4","female div/dep/mar","none","unskilled resident","yes",1,400
"no checking",18,"existing paid","<100","<1","male mar/wid","none","skilled","yes",1,401
"0<=X<200",18,"critical/other existing credit","no known savings","1<=X<4","male mar/wid","bank","skilled","yes",1,402
"no checking",24,"delayed previously","<100","<1","male single","bank","skilled","yes",2,403
"no checking",14,"delayed previously","<100","1<=X<4","male single","none","unskilled resident","yes",1,404
"0<=X<200",18,"delayed previously","no known savings",">=7","male single","none","skilled","yes",1,405
"0<=X<200",24,"existing paid","<100","<1","male mar/wid","none","skilled","yes",2,406
"no checking",24,"critical/other existing credit","no known savings","4<=X<7","male single","none","skilled","yes",1,407
"<0",15,"existing paid","<100","<1","male mar/wid","none","skilled","no",1,408
"no checking",24,"existing paid","500<=X<1000",">=7","male div/sep","none","high qualif/self emp/mgmt","yes",1,409
">=200",12,"critical/other existing credit","500<=X<1000","4<=X<7","male mar/wid","none","skilled","yes",2,410
"0<=X<200",24,"existing paid","<100",">=7","female div/dep/mar","none","skilled","yes",1,411
"no checking",33,"critical/other existing credit","<100","4<=X<7","male single","none","high qualif/self emp/mgmt","yes",1,412
"no checking",12,"critical/other existing credit","<100","unemployed","male single","stores","high qualif/self emp/mgmt","yes",2,413
"no checking",10,"existing paid","500<=X<1000","1<=X<4","male single","none","unskilled resident","no",1,414
"<0",24,"existing paid","no known savings","1<=X<4","female div/dep/mar","none","skilled","yes",2,415
"no checking",36,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",1,416
"<0",12,"existing paid","<100","<1","male single","none","unskilled resident","yes",2,417
"<0",24,"delayed previously","no known savings","1<=X<4","female div/dep/mar","none","skilled","yes",1,418
"no checking",21,"existing paid","500<=X<1000","4<=X<7","female div/dep/mar","bank","high qualif/self emp/mgmt","yes",1,419
"0<=X<200",18,"existing paid","no known savings","1<=X<4","female div/dep/mar","none","skilled","yes",2,420
"no checking",15,"existing paid",">=1000","4<=X<7","female div/dep/mar","none","skilled","yes",1,421
"0<=X<200",12,"existing paid","no known savings","1<=X<4","male single","none","skilled","yes",1,422
"0<=X<200",12,"critical/other existing credit","<100","4<=X<7","male single","none","unskilled resident","yes",1,423
"no checking",21,"delayed previously","100<=X<500","4<=X<7","male single","none","high qualif/self emp/mgmt","yes",1,424
"0<=X<200",12,"existing paid","no known savings",">=7","female div/dep/mar","bank","skilled","yes",2,425
"0<=X<200",18,"existing paid","<100","1<=X<4","male mar/wid","none","skilled","yes",1,426
"no checking",28,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",1,427
"no checking",18,"critical/other existing credit",">=1000","1<=X<4","male single","none","skilled","yes",1,428
"no checking",9,"existing paid","<100",">=7","male single","none","skilled","yes",1,429
"<0",18,"critical/other existing credit","<100","unemployed","female div/dep/mar","none","unemp/unskilled non res","yes",2,430
"no checking",5,"existing paid","<100","4<=X<7","male single","none","unskilled resident","yes",1,431
"0<=X<200",24,"existing paid","<100","1<=X<4","male single","none","high qualif/self emp/mgmt","yes",2,432
"<0",6,"critical/other existing credit","<100","unemployed","male single","none","high qualif/self emp/mgmt","yes",1,433
"no checking",24,"critical/other existing credit","<100","1<=X<4","male div/sep","none","skilled","yes",1,434
"<0",9,"existing paid","<100","1<=X<4","male single","none","skilled","yes",1,435
"0<=X<200",12,"existing paid","no known savings","1<=X<4","male mar/wid","none","skilled","yes",2,436
"no checking",6,"existing paid","500<=X<1000","4<=X<7","male mar/wid","none","unskilled resident","yes",1,437
"no checking",24,"critical/other existing credit",">=1000",">=7","female div/dep/mar","none","skilled","yes",1,438
"<0",42,"critical/other existing credit","<100","unemployed","male single","none","unemp/unskilled non res","yes",1,439
">=200",12,"all paid","<100","<1","female div/dep/mar","none","unemp/unskilled non res","yes",2,440
"no checking",12,"existing paid","<100",">=7","male single","none","high qualif/self emp/mgmt","yes",1,441
"<0",15,"existing paid","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,442
"0<=X<200",20,"delayed previously","<100","1<=X<4","male single","bank","skilled","yes",1,443
"no checking",12,"existing paid","<100",">=7","male single","none","unskilled resident","yes",2,444
"no checking",48,"critical/other existing credit","<100","1<=X<4","female div/dep/mar","none","high qualif/self emp/mgmt","yes",2,445
"no checking",9,"critical/other existing credit","no known savings",">=7","female div/dep/mar","none","unskilled resident","yes",1,446
"<0",36,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",2,447
"0<=X<200",7,"existing paid","<100","1<=X<4","male single","none","skilled","yes",1,448
">=200",12,"existing paid","no known savings",">=7","female div/dep/mar","none","high qualif/self emp/mgmt","yes",1,449
"0<=X<200",15,"delayed previously",">=1000","1<=X<4","male mar/wid","stores","skilled","yes",2,450
"no checking",36,"critical/other existing credit","no known savings","1<=X<4","male single","none","high qualif/self emp/mgmt","yes",1,451
"no checking",6,"existing paid","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,452
"no checking",12,"no credits/all paid","<100",">=7","male single","none","skilled","yes",1,453
"no checking",24,"existing paid","<100",">=7","male single","none","high qualif/self emp/mgmt","yes",1,454
"<0",24,"existing paid","<100","4<=X<7","male single","none","skilled","yes",2,455
"no checking",24,"existing paid","<100","<1","female div/dep/mar","none","high qualif/self emp/mgmt","yes",1,456
"<0",11,"critical/other existing credit","<100","1<=X<4","male single","none","skilled","yes",1,457
"<0",12,"existing paid","<100",">=7","male single","none","skilled","yes",2,458
"<0",6,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",1,459
"no checking",18,"existing paid","<100","<1","male single","none","skilled","yes",1,460
"<0",36,"existing paid","<100","1<=X<4","male single","none","skilled","yes",1,461
"<0",15,"existing paid","<100","<1","male single","none","skilled","yes",1,462
"0<=X<200",12,"existing paid","<100","<1","female div/dep/mar","none","high qualif/self emp/mgmt","yes",1,463
"0<=X<200",21,"existing paid","no known savings",">=7","male single","none","skilled","yes",1,464
"no checking",18,"existing paid","<100","4<=X<7","male single","stores","skilled","yes",1,465
"<0",24,"existing paid","<100","1<=X<4","male single","bank","skilled","yes",1,466
"<0",24,"delayed previously","<100","<1","female div/dep/mar","none","unskilled resident","yes",2,467
"no checking",48,"delayed previously","no known savings",">=7","male single","bank","skilled","yes",1,468
"no checking",21,"delayed previously","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,469
"no checking",24,"delayed previously","<100","4<=X<7","male single","none","unskilled resident","yes",1,470
"0<=X<200",16.5,"existing paid","100<=X<500","<1","male mar/wid","none","skilled","yes",2,471
"<0",6,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",2,472
"<0",9,"existing paid","<100","1<=X<4","male single","none","unskilled resident","yes",2,473
"no checking",6,"existing paid","no known savings","unemployed","male single","none","high qualif/self emp/mgmt","yes",1,474
"0<=X<200",18,"critical/other existing credit","<100","1<=X<4","male mar/wid","none","skilled","yes",2,475
"<0",18,"no credits/all paid","<100","<1","female div/dep/mar","none","skilled","yes",2,476
"no checking",39,"existing paid","500<=X<1000","1<=X<4","male single","none","skilled","yes",1,477
">=200",24,"existing paid","<100","4<=X<7","male single","bank","skilled","yes",1,478
"0<=X<200",12,"existing paid","100<=X<500","4<=X<7","male single","none","unskilled resident","yes",1,479
"<0",15,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",1,480
"0<=X<200",12,"critical/other existing credit","<100","1<=X<4","female div/dep/mar","none","unskilled resident","yes",1,481
"0<=X<200",24,"existing paid","<100","<1","male single","none","skilled","yes",1,482
"<0",30,"existing paid",">=1000",">=7","female div/dep/mar","none","skilled","yes",1,483
"no checking",15,"delayed previously",">=1000","4<=X<7","female div/dep/mar","none","skilled","yes",1,484
"no checking",24,"critical/other existing credit","500<=X<1000","1<=X<4","male single","none","skilled","yes",1,485
"0<=X<200",6,"delayed previously","<100","unemployed","male single","none","high qualif/self emp/mgmt","yes",2,486
"no checking",12,"existing paid","<100","1<=X<4","male single","none","skilled","yes",1,487
"no checking",24,"existing paid","<100",">=7","female div/dep/mar","none","skilled","yes",1,488
"no checking",10,"existing paid","100<=X<500","1<=X<4","male single","none","unskilled resident","no",1,489
"no checking",6,"existing paid","<100","1<=X<4","male single","none","skilled","yes",1,490
"no checking",12,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",1,491
"0<=X<200",27,"no credits/all paid","<100",">=7","female div/dep/mar","none","high qualif/self emp/mgmt","yes",2,492
"no checking",6,"critical/other existing credit","100<=X<500","1<=X<4","female div/dep/mar","none","skilled","yes",1,493
"0<=X<200",6,"existing paid","no known savings",">=7","male single","none","skilled","yes",1,494
"<0",12,"critical/other existing credit","<100","1<=X<4","male single","none","unskilled resident","no",1,495
"<0",24,"existing paid","no known savings","1<=X<4","male mar/wid","none","skilled","yes",2,496
"0<=X<200",36,"existing paid","100<=X<500","<1","male single","none","high qualif/self emp/mgmt","yes",2,497
"no checking",24,"critical/other existing credit","<100","4<=X<7","male single","none","skilled","yes",1,498
"0<=X<200",18,"existing paid","<100",">=7","male mar/wid","none","unskilled resident","yes",1,499
">=200",6,"critical/other existing credit","100<=X<500",">=7","male div/sep","none","skilled","yes",1,500
"<0",24,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",2,501
"<0",36,"existing paid","<100",">=7","male single","none","skilled","yes",1,502
">=200",12,"existing paid","100<=X<500",">=7","male div/sep","none","skilled","yes",1,503
"0<=X<200",24,"critical/other existing credit","100<=X<500","<1","male single","bank","skilled","yes",2,504
"<0",24,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",2,505
"no checking",10,"existing paid","no known savings","1<=X<4","male single","none","unskilled resident","yes",2,506
">=200",15,"critical/other existing credit","500<=X<1000","1<=X<4","male single","none","skilled","yes",1,507
"0<=X<200",15,"all paid","100<=X<500","unemployed","male single","none","high qualif/self emp/mgmt","yes",2,508
"no checking",24,"existing paid","<100","1<=X<4","male mar/wid","none","skilled","yes",1,509
"no checking",39,"existing paid","100<=X<500",">=7","male single","none","high qualif/self emp/mgmt","yes",1,510
"<0",12,"existing paid","<100","4<=X<7","male single","none","skilled","yes",2,511
"no checking",36,"existing paid","<100","1<=X<4","male single","none","high qualif/self emp/mgmt","yes",1,512
">=200",15,"existing paid","<100","4<=X<7","male single","none","skilled","yes",1,513
"no checking",12,"delayed previously","<100","1<=X<4","male mar/wid","none","skilled","yes",1,514
"no checking",24,"existing paid","no known savings","<1","male single","none","skilled","yes",1,515
"<0",12,"critical/other existing credit","<100","4<=X<7","female div/dep/mar","none","skilled","no",1,516
"<0",6,"critical/other existing credit","<100","<1","male single","none","unskilled resident","no",1,517
"no checking",36,"critical/other existing credit","<100","<1","female div/dep/mar","none","skilled","yes",2,518
"<0",6,"existing paid","100<=X<500",">=7","male single","none","skilled","yes",1,519
"no checking",6,"critical/other existing credit","no known savings",">=7","male single","none","skilled","yes",1,520
"no checking",24,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",1,521
"<0",18,"existing paid","<100","1<=X<4","female div/dep/mar","none","skilled","yes",2,522
"<0",48,"no credits/all paid","<100","1<=X<4","male single","none","skilled","yes",2,523
"no checking",24,"existing paid","100<=X<500","4<=X<7","female div/dep/mar","none","skilled","yes",1,524
"0<=X<200",9.5,"existing paid","<100","1<=X<4","female div/dep/mar","none","unskilled resident","yes",1,525
"0<=X<200",26,"existing paid","<100","<1","male single","none","skilled","yes",1,526
"no checking",15,"critical/other existing credit","100<=X<500","1<=X<4","female div/dep/mar","none","skilled","yes",1,527
"no checking",4,"critical/other existing credit","<100","4<=X<7","male single","none","unskilled resident","yes",1,528
"<0",36,"existing paid","<100","1<=X<4","male div/sep","none","skilled","yes",2,529
"0<=X<200",6,"existing paid","<100","<1","male single","none","unskilled resident","yes",1,530
"0<=X<200",36,"existing paid","<100","4<=X<7","male single","none","skilled","yes",1,531
"0<=X<200",15,"existing paid","100<=X<500","1<=X<4","female div/dep/mar","none","skilled","yes",2,532
"no checking",12,"delayed previously","<100","1<=X<4","male mar/wid","none","skilled","yes",1,533
"no checking",22.5,"existing paid","100<=X<500","4<=X<7","male mar/wid","none","skilled","yes",1,534
"no checking",24,"existing paid","no known savings","<1","male single","none","skilled","yes",1,535
">=200",21,"critical/other existing credit","<100","<1","male div/sep","none","skilled","yes",2,536
"<0",12,"existing paid","no known savings","unemployed","female div/dep/mar","none","high qualif/self emp/mgmt","yes",1,537
"0<=X<200",18,"critical/other existing credit","<100",">=7","female div/dep/mar","none","skilled","yes",1,538
"<0",48,"existing paid","<100",">=7","male single","bank","high qualif/self emp/mgmt","yes",2,539
">=200",18,"existing paid","<100","<1","female div/dep/mar","stores","unskilled resident","yes",1,540
"0<=X<200",12,"existing paid","<100","<1","male mar/wid","none","skilled","yes",2,541
"no checking",15,"delayed previously","<100",">=7","male single","none","skilled","yes",1,542
"<0",30,"existing paid","no known savings",">=7","male single","none","skilled","yes",2,543
"<0",18,"existing paid","<100","1<=X<4","male single","none","unskilled resident","yes",2,544
"no checking",12,"critical/other existing credit","<100",">=7","male single","none","unskilled resident","yes",1,545
"<0",24,"delayed previously","<100","unemployed","male single","none","skilled","yes",2,546
"no checking",24,"critical/other existing credit","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,547
"no checking",24,"existing paid","<100","4<=X<7","male single","none","skilled","yes",1,548
"<0",12,"all paid","<100","1<=X<4","female div/dep/mar","bank","unskilled resident","yes",2,549
"no checking",24,"critical/other existing credit","no known savings","4<=X<7","male single","none","skilled","yes",1,550
"no checking",12,"critical/other existing credit","no known savings","4<=X<7","female div/dep/mar","none","skilled","yes",1,551
"0<=X<200",6,"all paid","500<=X<1000",">=7","male single","bank","unskilled resident","yes",1,552
"<0",48,"existing paid","<100","4<=X<7","male mar/wid","none","skilled","yes",2,553
"0<=X<200",12,"critical/other existing credit","100<=X<500","<1","male single","none","skilled","yes",1,554
"0<=X<200",9,"existing paid","<100","4<=X<7","female div/dep/mar","none","high qualif/self emp/mgmt","yes",1,555
"0<=X<200",12,"existing paid","<100","<1","male single","stores","skilled","yes",2,556
"0<=X<200",18,"no credits/all paid","100<=X<500","<1","female div/dep/mar","none","skilled","yes",2,557
"no checking",21,"no credits/all paid","no known savings","1<=X<4","female div/dep/mar","bank","skilled","yes",2,558
"<0",24,"all paid","<100","4<=X<7","male single","bank","skilled","yes",2,559
"0<=X<200",18,"critical/other existing credit","<100","<1","male single","none","unskilled resident","yes",2,560
"<0",24,"existing paid","no known savings",">=7","male single","bank","skilled","yes",1,561
"<0",24,"all paid","<100","4<=X<7","male single","bank","unskilled resident","yes",2,562
">=200",6,"delayed previously","<100","<1","female div/dep/mar","bank","skilled","yes",1,563
"0<=X<200",36,"existing paid","no known savings","1<=X<4","male single","none","skilled","yes",2,564
"0<=X<200",24,"delayed previously","no known savings","1<=X<4","male single","bank","high qualif/self emp/mgmt","yes",1,565
"0<=X<200",24,"delayed previously","100<=X<500","4<=X<7","female div/dep/mar","none","skilled","yes",1,566
"<0",12,"existing paid","<100","4<=X<7","male div/sep","none","skilled","yes",2,567
"no checking",24,"critical/other existing credit",">=1000",">=7","male single","none","skilled","yes",1,568
"0<=X<200",48,"existing paid","no known savings","4<=X<7","male single","none","skilled","yes",1,569
"<0",48,"existing paid","<100","1<=X<4","female div/dep/mar","none","skilled","yes",2,570
"<0",24,"existing paid","<100","<1","female div/dep/mar","none","unskilled resident","yes",2,571
"no checking",30,"critical/other existing credit","<100","4<=X<7","male single","none","skilled","yes",1,572
"no checking",24,"existing paid","no known savings","unemployed","female div/dep/mar","none","high qualif/self emp/mgmt","yes",1,573
"<0",15,"existing paid","<100","1<=X<4","female div/dep/mar","none","unskilled resident","yes",1,574
"0<=X<200",9,"existing paid","<100",">=7","male single","none","unskilled resident","yes",1,575
"no checking",18,"critical/other existing credit","<100","4<=X<7","female div/dep/mar","bank","skilled","yes",1,576
"0<=X<200",12,"existing paid","<100","4<=X<7","female div/dep/mar","none","skilled","yes",1,577
"no checking",24,"critical/other existing credit","no known savings","1<=X<4","female div/dep/mar","none","skilled","yes",1,578
"0<=X<200",36,"critical/other existing credit","<100","<1","male div/sep","none","skilled","yes",2,579
"no checking",24,"existing paid","<100","<1","male mar/wid","none","unskilled resident","yes",1,580
"<0",18,"critical/other existing credit","<100",">=7","male single","bank","skilled","yes",2,581
"0<=X<200",12,"critical/other existing credit","<100","<1","male single","bank","unskilled resident","yes",1,582
"no checking",9,"existing paid","<100","1<=X<4","female div/dep/mar","none","skilled","yes",1,583
"0<=X<200",36,"existing paid","<100","<1","male single","none","unskilled resident","yes",2,584
"no checking",12,"existing paid","no known savings",">=7","female div/dep/mar","none","high qualif/self emp/mgmt","yes",1,585
"<0",18,"existing paid","<100","1<=X<4","female div/dep/mar","bank","skilled","yes",2,586
"<0",9,"critical/other existing credit","<100","1<=X<4","male single","none","skilled","yes",1,587
"<0",12,"existing paid","<100","1<=X<4","male single","none","unskilled resident","yes",1,588
"<0",18,"existing paid","<100","1<=X<4","male mar/wid","none","unskilled resident","yes",2,589
"<0",24,"critical/other existing credit","<100",">=7","male single","none","skilled","yes",2,590
"<0",12,"critical/other existing credit","<100","4<=X<7","female div/dep/mar","none","unskilled resident","yes",1,591
"0<=X<200",24,"delayed previously","no known savings","1<=X<4","female div/dep/mar","none","skilled","yes",1,592
"no checking",21,"existing paid",">=1000",">=7","female div/dep/mar","bank","unskilled resident","yes",1,593
"0<=X<200",24,"existing paid","<100","1<=X<4","female div/dep/mar","none","unskilled resident","yes",2,594
"<0",24,"all paid","no known savings",">=7","male single","stores","high qualif/self emp/mgmt","yes",2,595
"0<=X<200",6,"all paid","100<=X<500","<1","female div/dep/mar","stores","unskilled resident","yes",2,596
"<0",24,"existing paid","<100","4<=X<7","female div/dep/mar","none","skilled","yes",2,597
"0<=X<200",24,"no credits/all paid","<100","1<=X<4","male single","none","unskilled resident","yes",2,598
"<0",19.5,"critical/other existing credit","<100","4<=X<7","male single","bank","skilled","yes",2,599
"no checking",24,"delayed previously","<100","1<=X<4","male single","none","skilled","yes",1,600
"0<=X<200",7,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",1,601
"<0",18,"existing paid","<100","1<=X<4","female div/dep/mar","none","skilled","yes",2,602
"0<=X<200",24,"all paid","<100","4<=X<7","female div/dep/mar","bank","unskilled resident","yes",2,603
"no checking",36,"existing paid","<100","1<=X<4","female div/dep/mar","none","high qualif/self emp/mgmt","yes",2,604
">=200",10,"existing paid","<100","<1","female div/dep/mar","none","skilled","yes",1,605
"<0",22,"all paid","500<=X<1000","1<=X<4","male single","stores","skilled","yes",1,606
"no checking",24,"critical/other existing credit","<100","1<=X<4","male single","none","high qualif/self emp/mgmt","yes",1,607
"0<=X<200",36,"existing paid","100<=X<500","1<=X<4","female div/dep/mar","none","skilled","yes",2,608
"no checking",12,"existing paid","<100","<1","male single","none","skilled","yes",1,609
"no checking",15,"existing paid","no known savings",">=7","male single","bank","skilled","yes",1,610
"<0",12,"existing paid","100<=X<500","unemployed","female div/dep/mar","none","skilled","yes",2,611
">=200",10,"existing paid","100<=X<500",">=7","female div/dep/mar","none","unskilled resident","yes",2,612
"<0",21,"existing paid",">=1000","<1","female div/dep/mar","none","skilled","yes",1,613
